epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,767.642,0.85963,0.6822,1.08812,0.87463,0.827,0.89247,0.67676,1.00894,0.74783,1.2083,0.000472779,0.000472779,0.000472779
2,1436.89,0.89493,0.7283,1.09356,0.78297,0.76914,0.82712,0.59931,1.03283,0.99142,1.23111,0.000886471,0.000886471,0.000886471
3,2092.92,0.92838,0.79063,1.11715,0.85391,0.8306,0.87371,0.64015,1.06912,0.84043,1.2456,0.00123729,0.00123729,0.00123729
4,2771.15,0.95722,0.80823,1.13265,0.79051,0.79503,0.84841,0.61219,1.10842,0.9811,1.28459,0.00114606,0.00114606,0.00114606
5,3495.9,0.96519,0.83477,1.14351,0.85655,0.78323,0.86668,0.62102,1.1203,0.86873,1.29887,0.00105174,0.00105174,0.00105174
6,4140.54,0.88256,0.74312,1.09992,0.83131,0.79607,0.85653,0.61906,1.08287,0.86206,1.27656,0.00095743,0.00095743,0.00095743
7,5005.57,0.82777,0.64443,1.07141,0.79962,0.78774,0.8441,0.61292,1.08375,0.9057,1.28149,0.000863116,0.000863116,0.000863116
8,5979.91,0.81509,0.60006,1.05316,0.87872,0.8464,0.90314,0.67215,1.0077,0.72063,1.21898,0.000768802,0.000768802,0.000768802
9,6743.27,0.79425,0.57714,1.03553,0.87228,0.85327,0.90817,0.68147,0.98199,0.71846,1.2168,0.000674488,0.000674488,0.000674488
10,7430.19,0.76872,0.52746,1.0186,0.88349,0.84928,0.90294,0.67776,1.0103,0.69848,1.23964,0.000580174,0.000580174,0.000580174
11,8108.15,0.74067,0.49204,1.00423,0.87138,0.88609,0.91229,0.68858,1.00857,0.66212,1.23614,0.00048586,0.00048586,0.00048586
12,8844.55,0.73308,0.48616,1.00084,0.88841,0.87772,0.91579,0.69248,0.97229,0.65663,1.20889,0.000391546,0.000391546,0.000391546
13,9717.78,0.7042,0.45216,0.9853,0.89904,0.85824,0.90681,0.69481,0.98488,0.65744,1.21633,0.000297232,0.000297232,0.000297232
14,10653.6,0.68706,0.42743,0.9782,0.91265,0.85944,0.9166,0.70367,0.97087,0.63098,1.21249,0.000202918,0.000202918,0.000202918
15,11568,0.66724,0.41324,0.97121,0.87938,0.87719,0.91747,0.70847,0.97535,0.63442,1.21993,0.000108604,0.000108604,0.000108604
